year,month,ccic
1970,1,100.6
1970,2,101.5
1970,3,101.9
1970,4,103.2
1970,5,103.2
1970,6,103.1
1970,7,103
1970,8,102.6
1970,9,102.6
1970,10,102.1
1970,11,101.8
1970,12,101.4
1971,1,101.1
1971,2,101.2
1971,3,101.5
1971,4,101.7
1971,5,101.9
1971,6,102.2
1971,7,102
1971,8,101.1
1971,9,99.8
1971,10,98.6
1971,11,98.4
1971,12,97.8
1972,1,96.2
1972,2,95.4
1972,3,94.6
1972,4,95.5
1972,5,95.4
1972,6,95.9
1972,7,95.8
1972,8,96
1972,9,96.9
1972,10,97.4
1972,11,98.2
1972,12,99.3
1973,1,100.4
1973,2,100.5
1973,3,100.3
1973,4,101.1
1973,5,102.1
1973,6,102.3
1973,7,102.5
1973,8,103.5
1973,9,104.7
1973,10,105.6
1973,11,105.6
1973,12,105.2
1974,1,105.2
1974,2,106.1
1974,3,105.3
1974,4,103.9
1974,5,104
1974,6,103.9
1974,7,104.4
1974,8,103.2
1974,9,101.9
1974,10,100.1
1974,11,99.5
1974,12,99.4
1975,1,99.5
1975,2,100.1
1975,3,99.8
1975,4,99.3
1975,5,98.6
1975,6,98.2
1975,7,97.4
1975,8,98.4
1975,9,98.1
1975,10,98.5
1975,11,98.8
1975,12,99.1
1976,1,99.7
1976,2,99.5
1976,3,99.4
1976,4,99
1976,5,99.2
1976,6,99.6
1976,7,101
1976,8,101.5
1976,9,101.3
1976,10,99.8
1976,11,99.3
1976,12,98.5
1977,1,98
1977,2,97.9
1977,3,97.6
1977,4,97.9
1977,5,97.3
1977,6,98.1
1977,7,97.3
1977,8,97.8
1977,9,97.3
1977,10,98
1977,11,98.1
1977,12,99.2
1978,1,100.6
1978,2,101.3
1978,3,101.4
1978,4,101.4
1978,5,101.6
1978,6,101.7
1978,7,101.9
1978,8,102.7
1978,9,103.4
1978,10,103.7
1978,11,104
1978,12,104.4
1979,1,105.1
1979,2,105
1979,3,104.8
1979,4,103.9
1979,5,104
1979,6,103.4
1979,7,103.3
1979,8,102.5
1979,9,102.2
1979,10,102.4
1979,11,102.4
1979,12,102.5
1980,1,102.4
1980,2,101.8
1980,3,101.2
1980,4,100.3
1980,5,99.6
1980,6,98.7
1980,7,98.4
1980,8,98.4
1980,9,97.9
1980,10,98.1
1980,11,97.9
1980,12,98.5
1981,1,99.1
1981,2,99.7
1981,3,100.6
1981,4,101
1981,5,101.4
1981,6,101.4
1981,7,101.4
1981,8,101.5
1981,9,101.3
1981,10,101.4
1981,11,101
1981,12,100.8
1982,1,100.4
1982,2,99.8
1982,3,99.5
1982,4,99.2
1982,5,99
1982,6,99.1
1982,7,99.2
1982,8,98.9
1982,9,99.5
1982,10,99.3
1982,11,99.7
1982,12,99.7
1983,1,99.9
1983,2,100
1983,3,100
1983,4,99.8
1983,5,100.3
1983,6,100.7
1983,7,100.8
1983,8,100.9
1983,9,100.9
1983,10,101.1
1983,11,101.3
1983,12,101.3
1984,1,101.7
1984,2,101.5
1984,3,101.7
1984,4,101.4
1984,5,101.4
1984,6,101.6
1984,7,101.5
1984,8,101.3
1984,9,100.7
1984,10,100
1984,11,99.4
1984,12,99.2
1985,1,98.5
1985,2,98.4
1985,3,98.2
1985,4,98.5
1985,5,98.7
1985,6,98.7
1985,7,98.5
1985,8,98.1
1985,9,97.7
1985,10,97.7
1985,11,98.1
1985,12,98.7
1986,1,98.8
1986,2,98.9
1986,3,98.8
1986,4,99.1
1986,5,99.9
1986,6,100.3
1986,7,100.4
1986,8,100.5
1986,9,100.4
1986,10,100.2
1986,11,100
1986,12,99.9
1987,1,99.7
1987,2,99.8
1987,3,100.3
1987,4,100.6
1987,5,101.2
1987,6,101.7
1987,7,101.9
1987,8,100.9
1987,9,100.2
1987,10,100.4
1987,11,101.5
1987,12,102.1
1988,1,102
1988,2,102.1
1988,3,101.6
1988,4,100.9
1988,5,100.2
1988,6,99.9
1988,7,99.6
1988,8,99.9
1988,9,99.9
1988,10,100.2
1988,11,100
1988,12,99.5
1989,1,99.4
1989,2,99.2
1989,3,99.2
1989,4,98.8
1989,5,98.6
1989,6,98.6
1989,7,99
1989,8,99.6
1989,9,100.1
1989,10,100
1989,11,99.9
1989,12,99.7
1990,1,99.6
1990,2,99.8
1990,3,99.9
1990,4,100.2
1990,5,100.2
1990,6,100.1
1990,7,100
1990,8,100.3
1990,9,100.5
1990,10,100.4
1990,11,100.6
1990,12,100.5
1991,1,100.9
1991,2,101.4
1991,3,101.4
1991,4,101.5
1991,5,101.6
1991,6,101.5
1991,7,101.5
1991,8,101.6
1991,9,101.8
1991,10,102
1991,11,102.1
1991,12,101.8
1992,1,101.6
1992,2,101.3
1992,3,101.1
1992,4,101.1
1992,5,100.6
1992,6,100.3
1992,7,100
1992,8,99.6
1992,9,99
1992,10,98.6
1992,11,98.1
1992,12,97.9
1993,1,97.8
1993,2,97.2
1993,3,97
1993,4,96.8
1993,5,96.9
1993,6,97.2
1993,7,97.4
1993,8,97.5
1993,9,97.7
1993,10,97.8
1993,11,98
1993,12,98.1
1994,1,98.4
1994,2,98.4
1994,3,98.5
1994,4,98.6
1994,5,98.7
1994,6,99
1994,7,99.1
1994,8,99.2
1994,9,99.2
1994,10,99.6
1994,11,100.1
1994,12,100.5
1995,1,100.8
1995,2,101
1995,3,101.3
1995,4,101.5
1995,5,101.9
1995,6,102.3
1995,7,102.5
1995,8,103
1995,9,103.4
1995,10,103.6
1995,11,103.7
1995,12,104.2
1996,1,104.4
1996,2,104.9
1996,3,104.7
1996,4,104.9
1996,5,105.2
1996,6,105
1996,7,104.8
1996,8,104.5
1996,9,104.6
1996,10,104.7
1996,11,104.8
1996,12,104.8
1997,1,104.3
1997,2,104.3
1997,3,104.1
1997,4,104.6
1997,5,104.6
1997,6,104.5
1997,7,104.3
1997,8,104.4
1997,9,104.3
1997,10,103.9
1997,11,103.5
1997,12,102.6
1998,1,100.9
1998,2,98.8
1998,3,96.8
1998,4,95.7
1998,5,94.9
1998,6,94.2
1998,7,93.6
1998,8,93.2
1998,9,93.5
1998,10,94.5
1998,11,95.7
1998,12,96.3
1999,1,96.6
1999,2,96.8
1999,3,97.1
1999,4,97.4
1999,5,97.7
1999,6,98.3
1999,7,99.1
1999,8,99.5
1999,9,100
1999,10,100.1
1999,11,100.5
1999,12,100.4
2000,1,100.4
2000,2,100.5
2000,3,100.6
2000,4,100.8
2000,5,101.1
2000,6,101.4
2000,7,102.3
2000,8,102.1
2000,9,101.8
2000,10,101
2000,11,100.4
2000,12,99.8
2001,1,99.5
2001,2,99.2
2001,3,99.1
2001,4,98.9
2001,5,99.2
2001,6,99.3
2001,7,98.8
2001,8,98.7
2001,9,99.2
2001,10,99.6
2001,11,100
2001,12,99.7
2002,1,100.2
2002,2,100.8
2002,3,101.4
2002,4,101.4
2002,5,101.4
2002,6,101.3
2002,7,101.3
2002,8,101.2
2002,9,101.5
2002,10,101.3
2002,11,101.6
2002,12,101.5
2003,1,101.4
2003,2,100.9
2003,3,100.4
2003,4,99.8
2003,5,99.7
2003,6,99.7
2003,7,99.7
2003,8,99.7
2003,9,99.8
2003,10,100.3
2003,11,100.6
2003,12,100.9
2004,1,101.2
2004,2,101.6
2004,3,101.7
2004,4,101.6
2004,5,101
2004,6,100.7
2004,7,100.2
2004,8,99.6
2004,9,99.5
2004,10,99.3
2004,11,99.2
2004,12,98.6
2005,1,98.5
2005,2,98.3
2005,3,98.4
2005,4,98.3
2005,5,98.4
2005,6,98.5
2005,7,98.6
2005,8,98.6
2005,9,98.5
2005,10,98.5
2005,11,99.1
2005,12,99.6
2006,1,100.1
2006,2,99.7
2006,3,99.8
2006,4,99.7
2006,5,99.9
2006,6,99.8
2006,7,99
2006,8,99
2006,9,99.3
2006,10,100.7
2006,11,101.2
2006,12,101.6
2007,1,101.2
2007,2,101.4
2007,3,101.4
2007,4,101.6
2007,5,101.7
2007,6,101.8
2007,7,102
2007,8,102.2
2007,9,102.1
2007,10,102.3
2007,11,102.5
2007,12,102.9
2008,1,103.2
2008,2,103.2
2008,3,103.1
2008,4,102.7
2008,5,102.3
2008,6,101.5
2008,7,101
2008,8,100.8
2008,9,100.8
2008,10,100.4
2008,11,99.1
2008,12,97
2009,1,95.5
2009,2,95.1
2009,3,95.5
2009,4,96.3
2009,5,96.5
2009,6,97.7
2009,7,98.1
2009,8,98.4
2009,9,98.7
2009,10,99.2
2009,11,99.5
2009,12,99.5
2010,1,99.5
2010,2,99.9
2010,3,100.2
2010,4,100.5
2010,5,101
2010,6,101.1
2010,7,101.3
2010,8,101.1
2010,9,100.6
2010,10,100
2010,11,100
2010,12,100.4
2011,1,101.1
2011,2,100.9
2011,3,101
2011,4,100.6
2011,5,101
2011,6,101.2
2011,7,101.3
2011,8,101.4
2011,9,101
2011,10,101
2011,11,100.5
2011,12,100.5
2012,1,100.2
2012,2,100.6
2012,3,100.5
2012,4,100.4
2012,5,100.2
2012,6,100.2
2012,7,100.5
2012,8,100
2012,9,100.1
2012,10,99.6
2012,11,99.8
2012,12,100
2013,1,100
2013,2,100
2013,3,99.7
2013,4,99.9
2013,5,99.8
2013,6,100.1
2013,7,100.1
2013,8,100.3
2013,9,100.1
2013,10,100.2
2013,11,100.2
2013,12,100.4
2014,1,100.7
2014,2,100.7
2014,3,100.7
