gdpm,gdpmsa,ipi,ipisa,gdpmp,gdpmsap,ipip,ipisap
5345,5560.6,9.8,14.3,,,,
5715.5,5550.8,10.4,16.4,,-0.18 ,,14.69 
5487.1,5614.4,10,16.8,,1.15 ,,2.44 
6014.7,5836.6,10.7,15.9,,3.96 ,,-5.36 
5683.9,5898.6,10.4,16.4,,1.06 ,,3.14 
6375.2,6174.5,12,17.1,,4.68 ,,4.27 
6283.9,6411.7,11.8,18.1,,3.84 ,,5.85 
6646,6504.1,12.2,18.9,,1.44 ,,4.42 
6191,6392.3,11.1,19.9,,-1.72 ,,5.29 
6745.5,6521,12.3,20,,2.01 ,,0.50 
6542,6687.2,12.2,19.3,,2.55 ,,-3.50 
7120,6998.1,12.9,19.2,,4.65 ,,-0.52 
7073.6,7259.6,12.5,19.9,32.34 ,3.74 ,27.55 ,3.65 
7765.3,7499.7,14.3,19.3,35.86 ,3.31 ,37.50 ,-3.02 
7679.7,7865.5,14.5,19.9,39.96 ,4.88 ,45.00 ,3.11 
8250.9,8144.7,15.3,19.5,37.18 ,3.55 ,42.99 ,-2.01 
8491.3,8689.5,15,20.6,49.39 ,6.69 ,44.23 ,5.64 
9314,8981.9,17,21.7,46.10 ,3.36 ,41.67 ,5.34 
8948.7,9210.4,16.4,22.8,42.41 ,2.54 ,38.98 ,5.07 
9304.3,9176.4,17,22.9,40.00 ,-0.37 ,39.34 ,0.44 
9067.1,9233.3,15.7,23.4,46.46 ,0.62 ,41.44 ,2.18 
9761.4,9402.6,17.2,24.1,44.71 ,1.83 ,39.84 ,2.99 
9432.8,9733.8,17,24.2,44.19 ,3.52 ,39.34 ,0.41 
10157.4,10049,17.9,23.7,42.66 ,3.24 ,38.76 ,-2.07 
10538.1,10685.9,18.5,25.9,48.98 ,6.34 ,48.00 ,9.28 
11758.9,11355.8,21,25.3,51.43 ,6.27 ,46.85 ,-2.32 
11397,11798.8,21,25.4,48.40 ,3.90 ,44.83 ,0.40 
12507.3,12360.8,22.4,26.2,51.59 ,4.76 ,46.41 ,3.15 
12799.5,12943.1,22.4,29,50.74 ,4.71 ,49.33 ,10.69 
14255.9,13819.2,25.8,29,53.06 ,6.77 ,51.76 ,0.00 
13244.8,13699.7,24.6,26.6,48.01 ,-0.86 ,50.00 ,-8.28 
14749.9,14588,27,28.6,58.53 ,6.48 ,58.82 ,7.52 
15323.8,15419.5,27.4,30.7,69.00 ,5.70 ,74.52 ,7.34 
15052.3,14719.6,27.5,31.5,54.20 ,-4.54 ,59.88 ,2.61 
15135.4,15611.7,28.6,32.9,60.46 ,6.06 ,68.24 ,4.44 
16096.5,15857.1,29.9,35.5,58.47 ,1.57 ,67.04 ,7.90 
15492,15506.4,27.5,36.2,47.01 ,-2.21 ,48.65 ,1.97 
15851.4,15560.6,28.7,37.1,34.80 ,0.35 ,36.67 ,2.49 
15629.3,16141.4,29.6,39.5,37.14 ,3.73 ,40.95 ,6.47 
16746.6,16510.9,30.5,42,33.89 ,2.29 ,36.16 ,6.33 
16840.8,16810.5,29.7,44,31.57 ,1.81 ,32.59 ,4.76 
17318.3,17022.4,31.3,45.3,21.48 ,1.26 ,21.32 ,2.95 
17272.6,17833.9,32.3,43.9,30.41 ,4.77 ,31.30 ,-3.09 
18093.6,17858.4,33.2,46.2,22.67 ,0.14 ,22.96 ,5.24 
18500.8,18461.1,32.4,48.6,20.73 ,3.37 ,18.25 ,5.19 
18866.7,18556,34.4,49.7,25.34 ,0.51 ,25.09 ,2.26 
18316,19028.1,34.6,53.2,21.01 ,2.54 ,20.98 ,7.04 
20145.6,19783.8,37.4,54.9,25.16 ,3.97 ,25.08 ,3.20 
19750.2,19717.4,35.7,56.1,27.49 ,-0.34 ,29.82 ,2.19 
20246.7,19837.5,37.6,58.6,27.73 ,0.61 ,31.01 ,4.46 
18854.1,19682,36,60,20.63 ,-0.78 ,21.62 ,2.39 
20106.9,19720.9,37.7,58.8,20.07 ,0.20 ,23.61 ,-2.00 
20119.2,20043.5,35.9,59.8,19.47 ,1.64 ,20.88 ,1.70 
20997.4,20547.4,38.5,60.9,21.24 ,2.51 ,23.00 ,1.84 
20064.2,21021.8,37.9,60.8,16.16 ,2.31 ,17.34 ,-0.16 
21837.9,21406,41,60.1,20.69 ,1.83 ,23.49 ,-1.15 
22199.3,22176.7,39.7,61.9,19.99 ,3.60 ,22.53 ,3.00 
23427.8,22884,42.7,63.6,24.18 ,3.19 ,24.13 ,2.75 
21897.1,22992.5,41.2,64.4,19.55 ,0.47 ,19.08 ,1.26 
24974.9,24445.8,46.7,64.3,23.97 ,6.32 ,24.87 ,-0.16 
25124.8,25178.2,45.1,65.5,27.21 ,3.00 ,26.33 ,1.87 
26326.3,25685.4,48.1,67.8,30.03 ,2.01 ,27.93 ,3.51 
24792,26046.9,46.7,70.6,31.49 ,1.41 ,29.72 ,4.13 
27036.2,26368.7,50.7,72.3,34.46 ,1.24 ,34.48 ,2.41 
26945.6,27115.6,49.2,77.8,33.93 ,2.83 ,37.05 ,7.61 
27797.3,27163.3,52.7,82.7,32.38 ,0.18 ,36.88 ,6.30 
26421.3,27691.7,50.2,84.9,31.68 ,1.95 ,32.45 ,2.66 
28761.5,27955.2,54.6,84.2,31.70 ,0.95 ,33.17 ,-0.82 
28014.8,28357.4,51,88.5,26.20 ,1.44 ,28.46 ,5.11 
29854.4,29239.1,55.7,91,27.43 ,3.11 ,30.44 ,2.82 
27867.3,29098.6,53.6,88.1,27.26 ,-0.48 ,30.10 ,-3.19 
29537.8,28579.2,56,88,18.27 ,-1.78 ,19.91 ,-0.11 
26054.9,26431.8,48.5,84.1,3.70 ,-7.51 ,7.54 ,-4.43 
26360.1,25905.6,49.2,83,0.13 ,-1.99 ,2.29 ,-1.31 
25121.7,26033.1,48.7,77.3,1.33 ,0.49 ,4.28 ,-6.87 
28636.3,27802.5,56,72.7,5.92 ,6.80 ,10.45 ,-5.95 
28919.5,29469.4,55.7,69.2,7.33 ,6.00 ,13.21 ,-4.81 
32150.5,31625.9,61.9,70.1,15.66 ,7.32 ,17.46 ,1.30 
31954.2,33029.7,63.2,71.2,20.94 ,4.44 ,25.90 ,1.57 
36263.4,35162.6,72.8,74.2,26.08 ,6.46 ,33.33 ,4.21 
36108.6,36835.2,71,78.4,28.89 ,4.76 ,39.22 ,5.66 
37838.2,37221.9,74.1,78.5,26.74 ,1.05 ,33.03 ,0.13 
38088.3,39163.6,74.9,79.6,36.68 ,5.22 ,39.74 ,1.40 
39207.9,38022.3,77.2,83.7,32.74 ,-2.91 ,37.86 ,5.15 
37329.3,38078.1,71.3,87.4,43.27 ,0.15 ,47.01 ,4.42 
39382.8,38761.1,75.7,87.4,49.40 ,1.79 ,53.86 ,0.00 
38085.9,39082.2,73.6,85.4,51.61 ,0.83 ,51.13 ,-2.29 
39705.2,38581.9,77.1,84.1,38.65 ,-1.28 ,37.68 ,-1.52 
39253.9,40084.6,76,79.7,35.74 ,3.89 ,36.45 ,-5.23 
41828.8,41252.6,81.1,82.1,30.10 ,2.91 ,31.02 ,3.01 
40909,42070.8,78.8,82.9,28.02 ,1.98 ,24.68 ,0.97 
44251.1,42835,85.9,83.6,22.03 ,1.82 ,17.99 ,0.84 
41523.2,42448.5,80.8,87.8,15.00 ,-0.90 ,13.80 ,5.02 
43222.9,42758.4,83.9,90,14.23 ,0.73 ,13.23 ,2.51 
42624,43920,81.6,90.2,11.91 ,2.72 ,8.95 ,0.22 
48046.9,46290.2,93.4,89,22.54 ,5.40 ,20.98 ,-1.33 
46452.8,47610.3,90.7,92,24.44 ,2.85 ,27.21 ,3.37 
49090,48650.5,95.1,92.7,24.65 ,2.18 ,25.63 ,0.76 
47593.1,49027.5,90.8,94.6,24.96 ,0.77 ,23.37 ,2.05 
51749.7,49597.3,99.6,97.6,30.33 ,1.16 ,29.18 ,3.17 
48974.7,50325.1,94.6,98.1,24.76 ,1.47 ,24.47 ,0.51 
51572,51152.4,99.5,98.9,23.29 ,1.64 ,22.69 ,0.82 
51145.3,52679.8,97,100.9,25.02 ,2.99 ,23.10 ,2.02 
56981.4,54516.1,108.9,102.7,28.77 ,3.49 ,26.78 ,1.78 
53932.1,55509.3,104.9,107.6,29.88 ,1.82 ,29.83 ,4.77 
56501.3,56081.4,108.8,110.2,30.72 ,1.03 ,29.68 ,2.42 
55746.1,57292.8,106.8,111.6,30.79 ,2.16 ,30.88 ,1.27 
60192.1,57488,114.2,112.5,25.28 ,0.34 ,22.27 ,0.81 
55965.2,57719.6,109.2,113.1,20.48 ,0.40 ,20.40 ,0.53 
59940.7,59505.2,115.6,114.4,22.10 ,3.09 ,21.56 ,1.15 
59253.9,61017.1,113.4,115,24.50 ,2.54 ,24.89 ,0.52 
65885.1,62803.2,127,118.6,27.31 ,2.93 ,27.51 ,3.13 
61188.3,63250.4,120.9,123.5,24.94 ,0.71 ,27.80 ,4.13 
65020.5,64649.1,126,131.5,26.08 ,2.21 ,26.63 ,6.48 
