gdp,ipi,sbi,gdp_r,ipi_r,sbi_r,dum1,dum2
190321.8,51.3,64.1,,,,0,0
205221.2,53.1,66.5,,,,0,0
209631.1,53.7,66.3,,,,0,0
215669.6,55.5,69,,,,0,0
198932.5,51.8,67.1,4.52,0.97,4.68,0,0
214531.1,54.3,70.4,4.54,2.26,5.86,0,0
216445.3,53,70.4,3.25,-1.3,6.18,0,0
228080.6,55.7,74.1,5.75,0.36,7.39,0,0
212784.2,55.2,73.9,6.96,6.56,10.13,0,0
230489.4,58.2,77.7,7.44,7.18,10.37,0,0
233286.1,56.7,77.4,7.78,6.98,9.94,0,0
245199.3,62,80,7.51,11.31,7.96,0,0
221254.9,58.8,75.4,3.98,6.52,2.03,0,0
235528.3,60.3,78.4,2.19,3.61,0.9,0,0
237579.3,58.7,77.7,1.84,3.53,0.39,0,0
254433.6,67.1,80.5,3.77,8.23,0.63,0,0
233352.5,65.7,77,5.47,11.73,2.12,0,0
250574.3,68,79.2,6.39,12.77,1.02,0,0
249387,65.2,77.4,4.97,11.07,-0.39,0,0
261971.9,71.4,80.4,2.96,6.41,-0.12,0,0
239246.7,68.5,78,2.53,4.26,1.3,0,0
259500.4,71.3,80.9,3.56,4.85,2.15,0,0
260671.8,69.6,81.1,4.53,6.75,4.78,0,0
274918.7,78.1,85.5,4.94,9.38,6.34,0,0
254277.2,75.7,82.4,6.28,10.51,5.64,0,0
271733.6,77.7,85,4.71,8.98,5.07,0,0
273846.2,76.4,84.9,5.05,9.77,4.69,0,0
288019.3,81.7,89.6,4.77,4.61,4.8,0,0
266308,78.7,86.9,4.73,3.96,5.46,0,0
286939.2,82.6,90.6,5.6,6.31,6.59,0,0
287778.5,81.1,91.2,5.09,6.15,7.42,0,0
306285.7,90.7,96.2,6.34,11.02,7.37,0,0
280943,87.6,92.8,5.5,11.31,6.79,0,0
298681.8,90.2,94.9,4.09,9.2,4.75,0,0
298894.4,85.9,94.4,3.86,5.92,3.51,0,0
301252.1,80.7,95.8,-1.64,-11.03,-0.42,0,0
275518.7,74.3,91.8,-1.93,-15.18,-1.08,0,0
295256,85.3,96,-1.15,-5.43,1.16,1,0
301558.7,90,96.7,0.89,4.77,2.44,1,0
315785,94.3,100.4,4.82,16.85,4.8,1,0
295462.1,94,96.7,7.24,26.51,5.34,1,0
317137,101.2,100.7,7.41,18.64,4.9,0,0
317881.1,98.7,99,5.41,9.67,2.38,0,0
334827.7,106.1,103.6,6.03,12.51,3.19,0,0
309876.5,102.6,99.4,4.88,9.15,2.79,0,0
328491.2,107.5,103.4,3.58,6.23,2.68,0,0
328406,104,103.2,3.31,5.37,4.24,0,0
345119.1,109.7,106.7,3.07,3.39,2.99,0,0
317921.8,106.6,102,2.6,3.9,2.62,0,0
336510.9,108.9,104.9,2.44,1.3,1.45,0,0
335163.2,103.7,104.8,2.06,-0.29,1.55,0,0
352370.5,110.6,107.6,2.1,0.82,0.84,0,0
324550.1,105.7,102.9,2.08,-0.84,0.88,0,0
345525.6,108.9,106.7,2.68,0,1.72,0,0
346426.6,103.9,105.6,3.36,0.19,0.76,0,1
365335.4,112.5,109.9,3.68,1.72,2.14,0,1
337245.3,106.3,104.8,3.91,0.57,1.85,0,1
