year,quarter,gdp,gdpsa
1970,1,12807.50 ,14934.60 
1970,2,15732.50 ,15246.50 
1970,3,14621.60 ,15472.10 
1970,4,18689.50 ,16198.00 
1971,1,14512.50 ,16664.40 
1971,2,17709.40 ,17180.30 
1971,3,16581.40 ,17302.90 
1971,4,19505.80 ,17161.40 
1972,1,15201.40 ,17514.10 
1972,2,18494.00 ,17993.80 
1972,3,17513.20 ,18265.10 
1972,4,21548.00 ,18983.70 
1973,1,17106.30 ,19773.90 
1973,2,20962.60 ,20496.40 
1973,3,20699.40 ,21439.50 
1973,4,24747.30 ,21805.70 
1974,1,19744.50 ,22861.70 
1974,2,23212.80 ,22660.90 
1974,3,22259.70 ,22910.50 
1974,4,26133.90 ,22917.90 
1975,1,20079.00 ,23543.50 
1975,2,24620.50 ,24188.60 
1975,3,23905.50 ,24745.80 
1975,4,29448.70 ,25575.70 
1976,1,22562.20 ,26706.10 
1976,2,28249.50 ,27777.60 
1976,3,27286.60 ,28267.00 
1976,4,33149.20 ,28496.70 
1977,1,24563.00 ,28848.60 
1977,2,30610.10 ,30225.40 
1977,3,30789.50 ,31959.60 
1977,4,38431.80 ,33360.80 
1978,1,28152.00 ,32924.80 
1978,2,34577.50 ,33914.90 
1978,3,33485.40 ,34295.50 
1978,4,40989.20 ,36068.70 
1979,1,32136.00 ,37533.50 
1979,2,38298.10 ,37726.20 
1979,3,36100.20 ,36778.70 
1979,4,42180.70 ,36676.70 
1980,1,32037.20 ,36676.00 
1980,2,36890.50 ,36247.70 
1980,3,36847.60 ,36864.70 
1980,4,40127.90 ,36114.70 
1981,1,33053.00 ,37288.20 
1981,2,38870.90 ,38720.10 
1981,3,39610.60 ,39706.90 
1981,4,45171.50 ,40990.70 
1982,1,36244.50 ,40980.70 
1982,2,41747.30 ,41730.20 
1982,3,43033.60 ,42671.90 
1982,4,48673.50 ,44316.10 
1983,1,40695.10 ,45538.10 
1983,2,46982.10 ,46997.80 
1983,3,49267.70 ,48632.40 
1983,4,53426.80 ,49203.50 
1984,1,46324.40 ,51111.00 
1984,2,52139.60 ,52017.00 
1984,3,53715.50 ,52870.20 
1984,4,56961.10 ,53142.50 
1985,1,49372.00 ,54439.00 
1985,2,55426.00 ,55600.30 
1985,3,57468.10 ,56416.30 
1985,4,62499.30 ,58309.90 
1986,1,54332.10 ,59663.60 
1986,2,61680.00 ,62051.30 
1986,3,65980.50 ,64792.10 
1986,4,70283.60 ,65769.20 
1987,1,62306.40 ,67539.50 
1987,2,70651.60 ,70875.50 
1987,3,72834.20 ,71866.40 
1987,4,77428.10 ,72938.90 
1988,1,72318.80 ,77913.50 
1988,2,76244.10 ,76899.10 
1988,3,80458.40 ,79769.60 
1988,4,87223.80 ,81663.00 
1989,1,75624.30 ,81480.80 
1989,2,81983.00 ,82690.10 
1989,3,85735.70 ,85297.40 
1989,4,94255.10 ,88129.80 
1990,1,82997.70 ,89112.70 
1990,2,90411.80 ,90737.90 
1990,3,94229.20 ,93948.30 
1990,4,101347.10 ,95187.00 
1991,1,91567.70 ,98370.10 
1991,2,100276.00 ,100083.10 
1991,3,102412.40 ,102204.90 
1991,4,110568.80 ,104166.90 
1992,1,98945.80 ,105872.20 
1992,2,107529.80 ,106963.60 
1992,3,107095.20 ,106991.30 
1992,4,114593.20 ,108336.90 
1993,1,103211.70 ,110175.70 
1993,2,113863.90 ,112969.80 
1993,3,115026.70 ,115058.20 
1993,4,123161.90 ,117060.50 
1994,1,112772.80 ,120132.10 
1994,2,123071.70 ,122111.50 
1994,3,124043.00 ,124087.80 
1994,4,135311.90 ,128868.00 
1995,1,123105.20 ,131381.90 
1995,2,134693.20 ,133678.80 
1995,3,136465.50 ,136220.80 
1995,4,145160.00 ,138142.50 
1996,1,132132.50 ,141217.60 
1996,2,144395.40 ,143293.30 
1996,3,146014.70 ,145555.20 
1996,4,155643.90 ,148120.30 
1997,1,139408.00 ,149086.50 
1997,2,154630.60 ,153388.20 
1997,3,155632.00 ,154859.10 
1997,4,161858.30 ,154195.00 
1998,1,134483.00 ,143458.70 
1998,2,143315.90 ,141995.60 
1998,3,144597.50 ,143802.80 
1998,4,154190.40 ,147329.60 
1999,1,143085.90 ,151789.10 
1999,2,159428.80 ,157981.50 
1999,3,161775.80 ,161655.30 
1999,4,174167.50 ,167032.10 
2000,1,161106.90 ,170347.50 
2000,2,174123.30 ,172512.70 
2000,3,176763.90 ,176831.70 
2000,4,182634.00 ,174936.30 
2001,1,167931.10 ,177444.30 
2001,2,181326.10 ,179785.90 
2001,3,181927.40 ,182279.40 
2001,4,191044.40 ,182719.30 
2002,1,179041.60 ,189042.30 
2002,2,194030.20 ,192481.20 
2002,3,194267.20 ,195116.00 
2002,4,206529.50 ,197228.90 
2003,1,185318.00 ,195885.70 
2003,2,197580.10 ,196095.50 
2003,3,198061.80 ,199152.70 
2003,4,214598.40 ,204424.30 
2004,1,194923.10 ,206124.10 
2004,2,209329.20 ,207738.70 
2004,3,207578.00 ,208545.80 
2004,4,220475.00 ,209896.70 
2005,1,200216.60 ,211629.00 
2005,2,216347.10 ,214774.50 
2005,3,216983.10 ,218100.10 
2005,4,231694.10 ,220737.30 
2006,1,212469.30 ,224316.50 
2006,2,227415.60 ,225687.80 
2006,3,227901.30 ,229060.80 
2006,4,242262.80 ,230983.90 
2007,1,221931.10 ,234221.60 
2007,2,239458.00 ,237634.40 
2007,3,239125.10 ,240294.30 
2007,4,256000.30 ,244364.20 
2008,1,234178.90 ,246620.20 
2008,2,249890.20 ,247546.20 
2008,3,246962.30 ,247838.00 
2008,4,247467.50 ,236494.40 
2009,1,224359.50 ,236655.90 
2009,2,244708.40 ,242650.10 
2009,3,249519.60 ,250829.30 
2009,4,263037.60 ,251489.80 
2010,1,243822.50 ,256919.30 
2010,2,263190.10 ,260565.70 
2010,3,260745.70 ,262113.40 
2010,4,275908.00 ,264067.80 
2011,1,254248.00 ,267525.70 
2011,2,272362.00 ,269701.70 
2011,3,270256.10 ,271917.40 
2011,4,285229.40 ,272950.80 
2012,1,261480.40 ,275182.10 
2012,2,278883.60 ,276005.70 
2012,3,274484.40 ,276120.20 
2012,4,289366.30 ,276906.70 
2013,1,265291.20 ,279223.00 
2013,2,285312.30 ,282344.90 
2013,3,283595.00 ,285348.50 
2013,4,300654.70 ,287979.30 
