M1,GDPSA
259.8,16581.5
257.8,17090.5
274.1,17256.8
298.6,18117.2
316.7,18119.3
327.3,18598.2
323.1,19006.6
363.1,19013.3
378.1,19032.8
382.5,19133
428.7,19570.3
505.9,20340.6
578.3,20961.8
604.4,21536.1
657,22373.6
722.5,22601.1
778.4,23325.6
754.4,23245.3
770.4,23484.1
884.1,23700.1
944.5,24183.7
943.2,24582
1074.1,24901.5
1138.5,25664.2
1235.2,26637.2
1269.5,27381.3
1363.9,27702.5
1474.5,28112
1664.3,28126.9
1736,29356.8
1915.6,31261.8
2161.7,32065.1
2389.3,31723.8
2365.1,32776.6
2709.7,33258
2994.6,34281.6
3260.6,35240.5
3222.7,35378.4
3344.5,35244.8
3700.9,35132.6
4006.5,34676
3847.3,34583.6
4107,34840.5
4342.9,34797.8
4759.2,35395.7
4912.6,36398.5
5319.9,37401.8
5490.2,38262.2
6260.8,38321.3
6855.6,39008.7
8321.6,39955.2
9300.1,40974.6
9538.5,42208.7
9566.1,43350.2
10046.2,44590.9
10538.9,45162.3
10863.4,46413.2
10814,47143.9
11315.7,47767.2
11623.1,48191.9
12140.8,49123.4
12724.6,50034.1
13231.1,50879.1
13925.6,52371.4
15165.3,53337.9
16177.3,55194.3
17259.9,57280.9
18240.6,58088.4
19373.2,59670.1
20332.7,61679.8
21678.2,63119.1
23741.9,64294.9
24910.4,67360.1
25370.2,67261.3
27309.2,69617.7
28731.2,70996.2
29736.8,71269.6
29832,72117.3
30918.1,74122.2
32096,76289.5
36109.9,77904.5
37562.7,79030.8
38063.8,81249.5
40479.1,82511.5
44214.3,84903.4
44465.5,86849
45770.5,88718.7
48526.5,90348.8
52779.4,91747.2
53287.1,92890.1
55158.6,92803.4
60174.4,93992.4
64099.3,95638.2
65955.1,97748.2
69294,99519.4
73076.9,101310.1
74575.4,103487
75759.4,105407.7
79167,107641
82158,111332.5
85746.4,113391.1
85439.1,115385.8
87798.4,118442.6
91841.3,119879.6
96076.6,122004.2
96816.4,123728.9
99846.4,126042.8
106508.2,128013.9
113567.2,128114.8
113376.8,131110.4
118552.4,132179.5
126355.6,131629.9
120023.7,121408.4
102618.1,120456.2
111139.4,121092
120856.5,124227
127573.4,127774.5
139958.4,131864.5
154976.2,134923.2
166632.9,138837.2
173198.4,143501.3
182424,143947.3
187613.4,146298.4
190163.8,144917.5
202638.6,148114.2
205869.5,149362.9
219365.8,151593.6
237895.5,151795.3
256941.7,157392.4
263279.6,159829.6
263798.2,161985.8
276149.9,163540.3
283414.8,162930.9
277733,163505.1
281278.2,165917.5
291163.5,170301.3
304054.5,171631.7
304140.6,173191
305670.6,174008.9
313504.2,175164
328551.4,176560.5
334325.9,179308.7
346926.5,182233.7
321804.5,185023.9
326600.8,187284.1
325026.7,188799.5
327958.1,191292.6
340950.7,192875.1
346558.6,194758.3
303099.6,198124.7
299829.9,201014.9
301841.1,204159.1
